episode,mean_waiting_time,mean_acc_waiting_time,cumulative_reward,time,loss_value
0,20.058518723516585,78.0710358651013,-9895.0,76.98558139801025,412.02850341796875
1,18.646266547377735,73.88507121292558,-7079.0,72.52504014968872,382.23455810546875
2,18.249722843427662,71.34040667722525,-12225.0,66.27526450157166,254.11669921875
3,17.938920456666477,73.25721785838792,-13086.0,60.08099412918091,248.63267517089844
4,16.39427879583032,65.85046539759644,-10972.0,53.76040959358215,336.83441162109375
5,17.533668612418364,75.03750267633251,-12255.0,59.54394841194153,343.37298583984375
6,16.666105747170157,67.19342906936338,-10626.0,49.25667929649353,417.4774169921875
7,15.206897491236756,57.49369980376037,-7289.0,45.11746382713318,311.04339599609375
8,14.887106410441415,55.63013220763705,-5847.0,44.860634565353394,264.3594665527344
9,13.040389934052097,48.39131487266548,-9462.0,44.03504228591919,263.3912353515625
10,13.330426119022228,53.77373907015792,-7772.0,45.75240349769592,333.21490478515625
11,12.777319719898774,47.6045326986483,-1992.0,43.53026819229126,278.26513671875
12,12.182727208472409,46.21104367278798,-3626.0,43.33695197105408,283.9430236816406
13,11.725771486988561,38.27401994668809,-4590.0,41.34531116485596,236.0909881591797
14,10.63656109865063,32.25124010134766,-4793.0,39.519609212875366,232.54490661621094
15,11.03329975762528,39.716882341960364,-5218.0,41.35188841819763,204.76419067382812
16,10.866516634181709,37.95835383666763,-4736.0,42.035215616226196,331.4146423339844
17,9.7288723288483,31.657053356161413,-2041.0,39.947086811065674,198.8948974609375
18,9.057768961606664,26.616694220437093,-4997.0,38.83417296409607,173.51986694335938
19,8.508266731229373,22.35305809755401,-2641.0,38.03246760368347,225.72152709960938
20,8.527669010723212,26.671034562302086,-1876.0,39.1350371837616,191.45697021484375
21,8.65062782071979,25.47778218944744,-7149.0,38.99422001838684,214.9176025390625
22,7.98861329159387,23.2412729936201,-742.0,38.479475259780884,212.68707275390625
23,8.168268043596079,26.66182328355096,-3769.0,39.74367928504944,158.78631591796875
24,7.529290658310373,21.145743588244684,-2128.0,38.11022758483887,204.30673217773438
25,7.303483090544528,20.079211611149542,-236.0,38.09576749801636,161.3187255859375
26,6.9758974813309305,18.972400655609682,-696.0,37.98382091522217,197.04696655273438
27,6.396879591425296,16.232380684536846,-3195.0,37.43368577957153,163.03688049316406
28,6.691377298529477,17.29512420879593,-1381.0,37.83190965652466,200.9776153564453
29,6.635116069780649,17.281726323236665,-1517.0,37.62232804298401,217.5333709716797
30,5.7526227637912815,12.852277493053485,-335.0,36.502785205841064,141.32269287109375
31,5.600636690658759,12.514224015573557,-998.0,36.92828321456909,188.34454345703125
32,5.73727838954531,14.221265411690755,-1128.0,36.948628187179565,202.75979614257812
33,5.40256402308043,11.901176508374071,-709.0,36.522526264190674,141.99008178710938
34,4.725503962949685,10.244705977683779,-53.0,36.53574585914612,180.48751831054688
35,4.476708227796841,9.325509148199421,-397.0,36.146249532699585,172.7646484375
36,4.2768486269291675,8.881082597772627,-1244.0,36.1982901096344,173.30145263671875
37,4.016124874635466,8.32813499719389,-200.0,36.09740948677063,139.34458923339844
38,3.878767644824496,7.860585468098815,-510.0,35.921319246292114,146.65093994140625
39,3.6615198634245716,7.104154362464,-322.0,35.85564184188843,156.90084838867188
40,3.5037218215542185,6.676088962100865,-408.0,35.790244817733765,113.24620819091797
41,3.373017387256228,6.712473961391347,-948.0,36.11626672744751,136.4086151123047
42,3.15365812835823,6.21515111803997,-274.0,36.2045738697052,161.94070434570312
43,3.1200883837400206,5.968820618154271,-554.0,35.96404218673706,164.94491577148438
44,3.3435476385634773,7.008313709205003,-359.0,36.102391481399536,129.6942138671875
45,3.2904045181595127,6.222049963218021,-723.0,36.01521587371826,134.11744689941406
46,2.6391411621377476,4.789792962856708,-250.0,36.19266867637634,128.697021484375
47,2.509588083711872,4.677648106645737,-125.0,35.80787634849548,131.33432006835938
48,2.712576332230889,5.0083951832163285,-542.0,35.7768759727478,136.74240112304688
49,3.075297338243858,5.746879005713015,-490.0,36.004353284835815,128.17210388183594
50,2.6711626345608495,4.418544817482551,-43.0,35.76310896873474,144.4698028564453
51,2.4518760430617808,4.618071235550136,-627.0,35.804364919662476,88.46890258789062
52,2.351701327425425,4.218988408262378,-378.0,35.82647109031677,112.3241195678711
53,2.5796285775687484,4.562426065249057,-107.0,36.236605644226074,118.62142181396484
54,2.5505099317690783,4.749200720270074,-369.0,36.33472776412964,119.53436279296875
55,2.412627752591378,4.1472576828714764,-147.0,35.5046226978302,117.14848327636719
56,2.2037480541644263,4.0787700259356425,-34.0,35.825756549835205,81.88784790039062
57,2.395736703338922,4.316193626471555,-246.0,35.896690130233765,82.72914123535156
58,1.9336068646332298,3.506128692432051,-102.0,35.49504351615906,84.36737060546875
59,2.3722721606397594,4.192259273040515,-152.0,35.606125593185425,74.24786376953125
60,2.158662218221695,3.986824245913973,-546.0,35.638700008392334,76.36662292480469
61,2.0559776156449474,3.722493199970176,-465.0,35.640742778778076,111.86470031738281
62,1.9650134858946615,3.5084127166204424,-922.0,35.686837911605835,110.37875366210938
63,2.0865008808742327,3.6102020959377743,-134.0,35.650765895843506,110.06584167480469
64,2.505590181188362,4.737827485724124,-542.0,35.81964159011841,73.43247985839844
65,2.0743554605078076,3.7557004882550706,-332.0,35.7787070274353,74.61129760742188
66,2.199817997500228,4.037253627366321,-384.0,35.676024198532104,76.47837829589844
67,2.301606032584985,4.31444612004912,-70.0,35.83826971054077,140.00927734375
68,2.5295862098024076,4.669455943793091,-243.0,35.9810266494751,95.88478088378906
69,2.224391472027982,4.006897390939645,-187.0,35.60245203971863,109.08969116210938
70,1.970348910213388,3.257279352515888,-86.0,35.39658045768738,83.06603240966797
71,2.096159598928193,3.5508986739836823,-99.0,35.65950870513916,129.86416625976562
72,2.2228279143924925,3.6931759088314453,-297.0,35.60802936553955,82.97688293457031
73,1.9375231573923895,3.330890984139788,-162.0,35.557897329330444,103.96817016601562
74,1.9379544169335108,3.4670934924846937,-420.0,35.618236780166626,101.27166748046875
75,1.9666553251708456,3.4107641361108882,-485.0,35.478830099105835,90.12065887451172
76,2.092529413905098,3.7688715866709472,-353.0,35.66488456726074,109.192626953125
77,1.9536724446051505,3.4319339982988657,-192.0,35.55175447463989,61.669044494628906
78,1.7577877931470942,3.141276240671168,-142.0,35.604024171829224,69.74236297607422
79,1.674918170402179,2.7497998989117143,-55.0,35.15486121177673,80.43548583984375
80,1.8736173085105692,3.2660700804834226,-102.0,35.60803937911987,93.80525207519531
81,2.4788330471201294,4.382215074189231,-115.0,35.684059381484985,113.42699432373047
82,2.3983958608065215,3.9008367576069056,-48.0,35.96975660324097,74.72107696533203
83,2.0158337889196947,3.5951463790427205,-43.0,35.4918851852417,79.21431732177734
84,1.7088413969009812,2.900612980340435,-206.0,35.44284915924072,89.4104232788086
85,2.0824032570049646,3.7707125573650715,-280.0,35.649128437042236,127.81137084960938
86,1.7992410199224065,3.1816776392560677,-40.0,35.606077432632446,105.37312316894531
87,2.0580437635878215,3.7743236952760664,-556.0,35.743475914001465,70.28250122070312
88,1.9966653461458346,3.46692802253465,-35.0,35.606308460235596,53.591041564941406
89,1.7197771148800616,3.15212840730316,-64.0,35.388636112213135,79.30792236328125
90,1.4605252429481403,2.437632635182582,-133.0,35.441978216171265,75.78837585449219
91,1.60123194794359,2.8364022950288184,-49.0,35.40989589691162,48.44450378417969
92,1.6951688867356887,2.8292063114512755,-16.0,35.51550102233887,89.9818115234375
93,1.7336931959660071,2.892417678538553,-471.0,35.3449604511261,50.948455810546875
94,2.0378083660611406,3.6016416194449827,-157.0,35.48561453819275,47.796470642089844
95,1.6270331471321702,3.0262529427377967,-169.0,35.53695821762085,67.95918273925781
96,1.7596729540962541,3.2078497911461543,-342.0,35.78252840042114,57.824737548828125
97,1.617916466655736,2.727041486387145,-22.0,35.2342050075531,113.6544189453125
98,1.6346818156988803,2.8188071421849927,-114.0,35.4659686088562,89.03678894042969
99,1.7170283344759443,3.1901336414861055,-9.0,35.40965247154236,54.534019470214844
100,1.8456753899127263,3.1099849093489484,-255.0,35.799243450164795,69.060302734375
