params,episode,cumulative_reward,mean_waiting_time,elapsed_time
reward_fn:diff_halted,0,-138.0,20.108054529953762,88.54372119903564
reward_fn:diff_halted,1,-129.0,19.73163241663642,72.68669605255127
reward_fn:diff_halted,2,-113.0,19.29878375340523,83.50560331344604
reward_fn:diff_halted,3,-120.0,17.84540425696731,60.137638568878174
reward_fn:diff_halted,4,-127.0,17.355803694688113,81.28594136238098
reward_fn:diff_halted,5,-148.0,16.261893561215768,65.06297326087952
reward_fn:diff_halted,6,-102.0,15.800812112670974,58.144564390182495
reward_fn:diff_halted,7,-151.0,15.524796192848724,51.80408811569214
reward_fn:diff_halted,8,-121.0,15.129105324106813,47.387725830078125
reward_fn:diff_halted,9,-68.0,14.200045671764089,46.89741373062134
reward_fn:diff_halted,10,-122.0,13.78680594534338,46.19619870185852
reward_fn:diff_halted,11,-105.0,12.903829136920882,44.683900594711304
reward_fn:diff_halted,12,-73.0,12.820923042861889,46.19208002090454
reward_fn:diff_halted,13,-118.0,12.680098815380832,38.18730020523071
reward_fn:diff_halted,14,-79.0,11.958323842657414,38.26643633842468
reward_fn:diff_halted,15,-76.0,12.03769252869257,45.54919385910034
reward_fn:diff_halted,16,-118.0,11.298947140858617,35.58412837982178
reward_fn:diff_halted,17,-109.0,10.912526621366416,39.774226903915405
reward_fn:diff_halted,18,-50.0,10.507330515429182,35.03961157798767
reward_fn:diff_halted,19,-67.0,9.354256065265819,32.838472843170166
reward_fn:diff_halted,20,-17.0,9.113776313742022,31.016118049621582
reward_fn:diff_halted,21,-42.0,8.644151575610417,30.500469207763672
reward_fn:diff_halted,22,-36.0,9.05019091473299,32.1708619594574
reward_fn:diff_halted,23,-68.0,6.653324745426705,27.377386569976807
reward_fn:diff_halted,24,-20.0,6.659782743409201,28.400683879852295
reward_fn:diff_halted,25,-74.0,6.200882467858826,26.307013750076294
reward_fn:diff_halted,26,-22.0,5.164779181481051,25.016135454177856
reward_fn:diff_halted,27,-19.0,5.016702217702433,25.02767300605774
reward_fn:diff_halted,28,-38.0,4.918118747689233,24.69172215461731
reward_fn:diff_halted,29,-69.0,4.477363434618923,24.417374849319458
reward_fn:diff_halted,30,-28.0,4.799612915697874,24.74946904182434
reward_fn:diff_halted,31,-8.0,4.511498956587901,24.423508882522583
reward_fn:diff_halted,32,-16.0,4.58799210532766,25.172476291656494
reward_fn:diff_halted,33,-15.0,3.2752011715485168,22.78280210494995
reward_fn:diff_halted,34,-6.0,4.104678543589388,23.8231680393219
reward_fn:diff_halted,35,-13.0,3.657246517483053,23.67326545715332
reward_fn:diff_halted,36,-5.0,3.0936272017392406,22.40465521812439
reward_fn:diff_halted,37,-29.0,3.511713290585224,23.59734869003296
reward_fn:diff_halted,38,-27.0,3.9693614240332726,23.87709331512451
reward_fn:diff_halted,39,-7.0,3.6009074133741064,23.70034432411194
reward_fn:diff_halted,40,-25.0,3.453947057234519,23.110671043395996
reward_fn:diff_halted,41,-22.0,3.347502030156265,23.405223846435547
reward_fn:diff_halted,42,-16.0,2.9808347211112203,22.923925161361694
reward_fn:diff_halted,43,-15.0,3.0895514315135943,22.98867964744568
reward_fn:diff_halted,44,-8.0,2.7067868246067497,22.56221842765808
reward_fn:diff_halted,45,-20.0,3.388570919449279,23.784912586212158
reward_fn:diff_halted,46,-13.0,2.7894974289863868,22.649548768997192
reward_fn:diff_halted,47,-8.0,2.79007591669107,22.810839414596558
reward_fn:diff_halted,48,-3.0,2.936133041233585,22.888006687164307
reward_fn:diff_halted,49,-8.0,3.1015336754378175,23.114370584487915
reward_fn:diff_waitingTime,0,-1308.0,19.912113642810915,90.22513771057129
reward_fn:diff_waitingTime,1,-2895.0,18.894197918470226,75.45112252235413
reward_fn:diff_waitingTime,2,-1578.0,18.167207868641654,87.85511255264282
reward_fn:diff_waitingTime,3,3167.0,17.818737130377265,73.99214220046997
reward_fn:diff_waitingTime,4,124.0,16.174718934634903,79.26620078086853
reward_fn:diff_waitingTime,5,537.0,15.245084285109856,62.755266189575195
reward_fn:diff_waitingTime,6,-3511.0,15.219136658450623,55.094935178756714
reward_fn:diff_waitingTime,7,2983.0,14.864316842719864,52.873799324035645
reward_fn:diff_waitingTime,8,-1953.0,14.189573544933085,49.85146737098694
reward_fn:diff_waitingTime,9,2872.0,13.396939790714512,46.106525897979736
reward_fn:diff_waitingTime,10,-1162.0,12.284729530597382,43.21324419975281
reward_fn:diff_waitingTime,11,-942.0,12.151424168055213,38.13115406036377
reward_fn:diff_waitingTime,12,2818.0,11.920284598702503,47.233739614486694
reward_fn:diff_waitingTime,13,-1825.0,11.782031576207052,35.01601958274841
reward_fn:diff_waitingTime,14,1425.0,11.108388254985764,36.509891986846924
reward_fn:diff_waitingTime,15,-1713.0,10.525316609862902,37.80313444137573
reward_fn:diff_waitingTime,16,2186.0,10.611660372727934,33.968398332595825
reward_fn:diff_waitingTime,17,-1372.0,10.50243403219968,36.97809076309204
reward_fn:diff_waitingTime,18,1338.0,9.419427488868283,32.438807010650635
reward_fn:diff_waitingTime,19,-200.0,7.755864230190139,29.644925355911255
reward_fn:diff_waitingTime,20,-1351.0,8.008415639432016,29.556565284729004
reward_fn:diff_waitingTime,21,2093.0,7.7094259043710665,30.623716115951538
reward_fn:diff_waitingTime,22,-456.0,6.7530586836104405,27.181198596954346
reward_fn:diff_waitingTime,23,370.0,6.735442424924151,27.201024293899536
reward_fn:diff_waitingTime,24,267.0,5.9125933244077595,26.62729501724243
reward_fn:diff_waitingTime,25,-207.0,5.870056209246754,26.16328263282776
reward_fn:diff_waitingTime,26,-13.0,5.525313724758383,26.717057466506958
reward_fn:diff_waitingTime,27,-221.0,4.868886464227659,24.508567094802856
reward_fn:diff_waitingTime,28,332.0,4.31829129195133,23.60744047164917
reward_fn:diff_waitingTime,29,-457.0,4.7918951154107745,24.469470024108887
reward_fn:diff_waitingTime,30,-1021.0,4.78813227508569,26.124825954437256
reward_fn:diff_waitingTime,31,1635.0,3.901839468159828,23.515279054641724
reward_fn:diff_waitingTime,32,23.0,4.154841571521014,24.1822292804718
reward_fn:diff_waitingTime,33,-216.0,3.8882022011538244,23.278996229171753
reward_fn:diff_waitingTime,34,170.0,3.4154541644196104,22.745357990264893
reward_fn:diff_waitingTime,35,-54.0,3.4673808249986955,23.08046555519104
reward_fn:diff_waitingTime,36,-54.0,3.285770730541673,22.505280256271362
reward_fn:diff_waitingTime,37,130.0,3.41795585357513,23.27411460876465
reward_fn:diff_waitingTime,38,-55.0,3.0789181526015796,22.90239429473877
reward_fn:diff_waitingTime,39,24.0,3.100440399943494,23.050844192504883
reward_fn:diff_waitingTime,40,16.0,2.9634416720254104,22.749804973602295
reward_fn:diff_waitingTime,41,-82.0,3.171749594585922,23.18972158432007
reward_fn:diff_waitingTime,42,111.0,2.7194134553284206,22.733195304870605
reward_fn:diff_waitingTime,43,-270.0,3.16958628618119,23.114110708236694
reward_fn:diff_waitingTime,44,142.0,2.874093129477059,22.82053279876709
reward_fn:diff_waitingTime,45,96.0,2.672258048957702,22.842329502105713
reward_fn:diff_waitingTime,46,-116.0,2.433863512925694,22.23411226272583
reward_fn:diff_waitingTime,47,61.0,2.59847263939638,22.675039529800415
reward_fn:diff_waitingTime,48,77.0,2.4827368084470693,24.18458342552185
reward_fn:diff_waitingTime,49,10.0,2.3789179128724522,22.873682975769043
reward_fn:diff_cumulativeWaitingTime,0,-9983.0,19.909542980924176,167.54938411712646
reward_fn:diff_cumulativeWaitingTime,1,-9776.0,19.088576836373626,144.69607615470886
reward_fn:diff_cumulativeWaitingTime,2,-10015.0,18.07629027448809,153.88614964485168
reward_fn:diff_cumulativeWaitingTime,3,-9521.0,17.37577018778812,129.834002494812
reward_fn:diff_cumulativeWaitingTime,4,-9052.0,16.846613878809762,145.57019352912903
reward_fn:diff_cumulativeWaitingTime,5,-8135.0,16.24243650195049,126.1870768070221
reward_fn:diff_cumulativeWaitingTime,6,-9142.0,15.467740659723656,113.20949578285217
reward_fn:diff_cumulativeWaitingTime,7,-5857.0,14.548369329268453,103.05079793930054
reward_fn:diff_cumulativeWaitingTime,8,-10271.0,14.269275959022664,100.9227569103241
reward_fn:diff_cumulativeWaitingTime,9,-6225.0,13.847905930516475,95.66403913497925
reward_fn:diff_cumulativeWaitingTime,10,-8518.0,13.425201974043107,104.5988118648529
reward_fn:diff_cumulativeWaitingTime,11,-7917.0,12.016954494086896,87.15142512321472
reward_fn:diff_cumulativeWaitingTime,12,-7866.0,12.112077286538394,95.75604128837585
reward_fn:diff_cumulativeWaitingTime,13,-7985.0,12.819030595588265,83.28240132331848
reward_fn:diff_cumulativeWaitingTime,14,-5428.0,11.96772273500614,82.73004055023193
reward_fn:diff_cumulativeWaitingTime,15,-3644.0,10.56296460644735,75.16385126113892
reward_fn:diff_cumulativeWaitingTime,16,-5539.0,10.420852429958426,71.53673911094666
reward_fn:diff_cumulativeWaitingTime,17,-4439.0,9.413181604440611,68.01601099967957
reward_fn:diff_cumulativeWaitingTime,18,-2314.0,9.409012512400713,72.15671610832214
reward_fn:diff_cumulativeWaitingTime,19,-5318.0,8.947047832840818,67.23400235176086
reward_fn:diff_cumulativeWaitingTime,20,-416.0,8.503841860130319,63.451184034347534
reward_fn:diff_cumulativeWaitingTime,21,-2787.0,8.206748436099701,63.59381628036499
reward_fn:diff_cumulativeWaitingTime,22,-322.0,6.746817476250087,55.487664222717285
reward_fn:diff_cumulativeWaitingTime,23,-1528.0,6.750335574051982,55.042263984680176
reward_fn:diff_cumulativeWaitingTime,24,-451.0,6.429857189342388,53.70666742324829
reward_fn:diff_cumulativeWaitingTime,25,-1353.0,6.455740159661729,52.02892208099365
reward_fn:diff_cumulativeWaitingTime,26,-5731.0,5.447495641269066,48.84207773208618
reward_fn:diff_cumulativeWaitingTime,27,-198.0,4.6974848105636235,43.60746502876282
reward_fn:diff_cumulativeWaitingTime,28,-2006.0,4.558312561968129,44.414252519607544
reward_fn:diff_cumulativeWaitingTime,29,-2311.0,4.708522092199382,44.369778871536255
reward_fn:diff_cumulativeWaitingTime,30,-1509.0,4.393141950568704,45.00044131278992
reward_fn:diff_cumulativeWaitingTime,31,-661.0,3.8906036043831516,41.42519211769104
reward_fn:diff_cumulativeWaitingTime,32,-665.0,4.258536140730371,44.53384208679199
reward_fn:diff_cumulativeWaitingTime,33,-487.0,3.5125072856859703,40.655922174453735
reward_fn:diff_cumulativeWaitingTime,34,-2275.0,3.5844375483501234,41.00669264793396
reward_fn:diff_cumulativeWaitingTime,35,-161.0,4.061671899642755,43.54466676712036
reward_fn:diff_cumulativeWaitingTime,36,-48.0,3.137022347117532,38.095054388046265
reward_fn:diff_cumulativeWaitingTime,37,-449.0,3.2856151254312422,40.32370209693909
reward_fn:diff_cumulativeWaitingTime,38,-110.0,3.0180274093222237,39.16056847572327
reward_fn:diff_cumulativeWaitingTime,39,-11.0,2.899893617590231,38.60909986495972
reward_fn:diff_cumulativeWaitingTime,40,-115.0,2.646448099857766,37.79410243034363
reward_fn:diff_cumulativeWaitingTime,41,-550.0,2.7678490597503997,38.967984437942505
reward_fn:diff_cumulativeWaitingTime,42,-314.0,2.8144207671927868,38.46167039871216
reward_fn:diff_cumulativeWaitingTime,43,-439.0,2.697756548253194,37.71740746498108
reward_fn:diff_cumulativeWaitingTime,44,-148.0,2.4800625514421917,37.13167858123779
reward_fn:diff_cumulativeWaitingTime,45,-1170.0,2.391896787045711,36.90791654586792
reward_fn:diff_cumulativeWaitingTime,46,-471.0,2.624223394229835,37.936936140060425
reward_fn:diff_cumulativeWaitingTime,47,-619.0,2.273928813591461,36.504554271698
reward_fn:diff_cumulativeWaitingTime,48,-60.0,2.3926022415179977,37.22781682014465
reward_fn:diff_cumulativeWaitingTime,49,-137.0,2.1666670519891515,36.34378409385681
